Trade_ID,Ticker,Direction,Strategy_Type,Created_At,Entry_Low,Entry_High,Stop_Loss,Target,Context,Risk_Profile,Risk_Factor,Status,Entry_Price,Entry_Date,Exit_Price,Exit_Date,Max_Runup_Pct,Max_Drawdown_Pct,Realized_PnL_Pct,Days_In_Trade
AVGO_1765440508,AVGO,LONG,Index Screener (Auto),2025-12-11T03:08:28.375273,397.87,408.77,372.7,940.04,"
📌 **AI-Enhanced Trade Idea — AVGO**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$397.87 – $408.77**

### 🛑 Stop Loss (Risk Control)
- **$372.7**

### 🎯 Profit Target (7–45 days)
- **$940.04**
(Expected return: ~127.6%)

---

### 📊 Technical Summary
- ATR(14): **16.78**
- Support: **$339.98**
- Resistance: **$412.97**
- EMA20 / EMA50 / EMA200:  
  **380.89 / 362.30 / 312.44**


### 📝 Additional Context
1Y Return 127.63%, 6M Return 61.93%, Score 78.38",Balanced,5,OPEN,,,,,,,,
GOOGL_1765440508,GOOGL,LONG,Index Screener (Auto),2025-12-11T03:08:28.768466,311.54,317.8,297.08,526.81,"
📌 **AI-Enhanced Trade Idea — GOOGL**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$311.54 – $317.8**

### 🛑 Stop Loss (Risk Control)
- **$297.08**

### 🎯 Profit Target (7–45 days)
- **$526.81**
(Expected return: ~64.5%)

---

### 📊 Technical Summary
- ATR(14): **9.64**
- Support: **$274.39**
- Resistance: **$323.23**
- EMA20 / EMA50 / EMA200:  
  **306.90 / 283.72 / 228.96**


### 📝 Additional Context
1Y Return 64.52%, 6M Return 82.53%, Score 59.13",Balanced,5,OPEN,,,,,,,,
GOOG_1765440509,GOOG,LONG,Index Screener (Auto),2025-12-11T03:08:29.125927,312.38,318.61,298.01,525.86,"
📌 **AI-Enhanced Trade Idea — GOOG**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$312.38 – $318.61**

### 🛑 Stop Loss (Risk Control)
- **$298.01**

### 🎯 Profit Target (7–45 days)
- **$525.86**
(Expected return: ~63.8%)

---

### 📊 Technical Summary
- ATR(14): **9.58**
- Support: **$274.99**
- Resistance: **$323.43**
- EMA20 / EMA50 / EMA200:  
  **307.44 / 284.28 / 229.83**


### 📝 Additional Context
1Y Return 63.82%, 6M Return 81.67%, Score 58.95",Balanced,5,OPEN,,,,,,,,
JPM_1765440509,JPM,LONG,Index Screener (Auto),2025-12-11T03:08:29.591028,303.31,308.22,291.98,403.27,"
📌 **AI-Enhanced Trade Idea — JPM**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$303.31 – $308.22**

### 🛑 Stop Loss (Risk Control)
- **$291.98**

### 🎯 Profit Target (7–45 days)
- **$403.27**
(Expected return: ~30.0%)

---

### 📊 Technical Summary
- ATR(14): **7.55**
- Support: **$298.00**
- Resistance: **$320.41**
- EMA20 / EMA50 / EMA200:  
  **308.38 / 306.20 / 291.17**


### 📝 Additional Context
1Y Return 30.04%, 6M Return 16.73%, Score 46.85",Balanced,5,OPEN,,,,,,,,
TSLA_1765440509,TSLA,LONG,Index Screener (Auto),2025-12-11T03:08:29.954310,437.11,447.47,413.21,479.8,"
📌 **AI-Enhanced Trade Idea — TSLA**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$437.11 – $447.47**

### 🛑 Stop Loss (Risk Control)
- **$413.21**

### 🎯 Profit Target (7–45 days)
- **$479.8**
(Expected return: ~6.3%)

---

### 📊 Technical Summary
- ATR(14): **15.93**
- Support: **$391.09**
- Resistance: **$468.37**
- EMA20 / EMA50 / EMA200:  
  **434.81 / 425.46 / 376.97**


### 📝 Additional Context
1Y Return 6.28%, 6M Return 41.47%, Score 43.4",Balanced,5,OPEN,,,,,,,,
LLY_1765440510,LLY,LONG,Index Screener (Auto),2025-12-11T03:08:30.358374,968.88,986.76,927.61,1249.6,"
📌 **AI-Enhanced Trade Idea — LLY**

### 🔍 Trend Assessment
**Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$968.88 – $986.76**

### 🛑 Stop Loss (Risk Control)
- **$927.61**

### 🎯 Profit Target (7–45 days)
- **$1249.6**
(Expected return: ~25.8%)

---

### 📊 Technical Summary
- ATR(14): **27.51**
- Support: **$812.34**
- Resistance: **$1109.94**
- EMA20 / EMA50 / EMA200:  
  **1009.45 / 942.06 / 838.48**


### 📝 Additional Context
1Y Return 25.76%, 6M Return 22.81%, Score 42.04",Balanced,5,OPEN,,,,,,,,
NVDA_1765440510,NVDA,LONG,Index Screener (Auto),2025-12-11T03:08:30.727569,177.84,182.13,167.93,242.52,"
📌 **AI-Enhanced Trade Idea — NVDA**

### 🔍 Trend Assessment
**Sideways / Above LT Trend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$177.84 – $182.13**

### 🛑 Stop Loss (Risk Control)
- **$167.93**

### 🎯 Profit Target (7–45 days)
- **$242.52**
(Expected return: ~32.0%)

---

### 📊 Technical Summary
- ATR(14): **6.61**
- Support: **$176.99**
- Resistance: **$207.03**
- EMA20 / EMA50 / EMA200:  
  **184.01 / 184.37 / 169.64**


### 📝 Additional Context
1Y Return 31.96%, 6M Return 26.76%, Score 41.59",Balanced,5,OPEN,,,,,,,,
JNJ_1765440511,JNJ,LONG,Index Screener (Auto),2025-12-11T03:08:31.167881,203.61,205.73,198.72,299.81,"
📌 **AI-Enhanced Trade Idea — JNJ**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$203.61 – $205.73**

### 🛑 Stop Loss (Risk Control)
- **$198.72**

### 🎯 Profit Target (7–45 days)
- **$299.81**
(Expected return: ~45.2%)

---

### 📊 Technical Summary
- ATR(14): **3.26**
- Support: **$184.83**
- Resistance: **$207.56**
- EMA20 / EMA50 / EMA200:  
  **200.95 / 193.93 / 174.48**


### 📝 Additional Context
1Y Return 45.16%, 6M Return 33.65%, Score 40.65",Balanced,5,OPEN,,,,,,,,
AAPL_1765440511,AAPL,LONG,Index Screener (Auto),2025-12-11T03:08:31.572286,274.23,277.51,266.64,316.72,"
📌 **AI-Enhanced Trade Idea — AAPL**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$274.23 – $277.51**

### 🛑 Stop Loss (Risk Control)
- **$266.64**

### 🎯 Profit Target (7–45 days)
- **$316.72**
(Expected return: ~13.6%)

---

### 📊 Technical Summary
- ATR(14): **5.06**
- Support: **$266.25**
- Resistance: **$286.19**
- EMA20 / EMA50 / EMA200:  
  **276.07 / 266.50 / 234.41**


### 📝 Additional Context
1Y Return 13.61%, 6M Return 40.24%, Score 39.43",Balanced,5,OPEN,,,,,,,,
WMT_1765440512,WMT,LONG,Index Screener (Auto),2025-12-11T03:08:32.039773,110.68,112.49,106.51,136.21,"
📌 **AI-Enhanced Trade Idea — WMT**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$110.68 – $112.49**

### 🛑 Stop Loss (Risk Control)
- **$106.51**

### 🎯 Profit Target (7–45 days)
- **$136.21**
(Expected return: ~20.4%)

---

### 📊 Technical Summary
- ATR(14): **2.78**
- Support: **$100.61**
- Resistance: **$115.11**
- EMA20 / EMA50 / EMA200:  
  **109.82 / 106.39 / 100.91**


### 📝 Additional Context
1Y Return 20.35%, 6M Return 19.63%, Score 34.31",Balanced,5,OPEN,,,,,,,,
AVGO_1765440862,AVGO,LONG,Index Screener (Auto),2025-12-11T03:14:22.529530,397.87,408.77,372.7,940.04,"
📌 **AI-Enhanced Trade Idea — AVGO**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$397.87 – $408.77**

### 🛑 Stop Loss (Risk Control)
- **$372.7**

### 🎯 Profit Target (7–45 days)
- **$940.04**
(Expected return: ~127.6%)

---

### 📊 Technical Summary
- ATR(14): **16.78**
- Support: **$339.98**
- Resistance: **$412.97**
- EMA20 / EMA50 / EMA200:  
  **380.89 / 362.30 / 312.44**


### 📝 Additional Context
1Y Return 127.63%, 6M Return 61.93%, Score 78.38",Balanced,5,OPEN,,,,,,,,
GOOGL_1765440862,GOOGL,LONG,Index Screener (Auto),2025-12-11T03:14:22.883460,311.54,317.8,297.08,526.81,"
📌 **AI-Enhanced Trade Idea — GOOGL**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$311.54 – $317.8**

### 🛑 Stop Loss (Risk Control)
- **$297.08**

### 🎯 Profit Target (7–45 days)
- **$526.81**
(Expected return: ~64.5%)

---

### 📊 Technical Summary
- ATR(14): **9.64**
- Support: **$274.39**
- Resistance: **$323.23**
- EMA20 / EMA50 / EMA200:  
  **306.90 / 283.72 / 228.96**


### 📝 Additional Context
1Y Return 64.52%, 6M Return 82.53%, Score 59.13",Balanced,5,OPEN,,,,,,,,
GOOG_1765440863,GOOG,LONG,Index Screener (Auto),2025-12-11T03:14:23.252237,312.38,318.61,298.01,525.86,"
📌 **AI-Enhanced Trade Idea — GOOG**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$312.38 – $318.61**

### 🛑 Stop Loss (Risk Control)
- **$298.01**

### 🎯 Profit Target (7–45 days)
- **$525.86**
(Expected return: ~63.8%)

---

### 📊 Technical Summary
- ATR(14): **9.58**
- Support: **$274.99**
- Resistance: **$323.43**
- EMA20 / EMA50 / EMA200:  
  **307.44 / 284.28 / 229.83**


### 📝 Additional Context
1Y Return 63.82%, 6M Return 81.67%, Score 58.95",Balanced,5,OPEN,,,,,,,,
JPM_1765440863,JPM,LONG,Index Screener (Auto),2025-12-11T03:14:23.690855,303.31,308.22,291.98,403.27,"
📌 **AI-Enhanced Trade Idea — JPM**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$303.31 – $308.22**

### 🛑 Stop Loss (Risk Control)
- **$291.98**

### 🎯 Profit Target (7–45 days)
- **$403.27**
(Expected return: ~30.0%)

---

### 📊 Technical Summary
- ATR(14): **7.55**
- Support: **$298.00**
- Resistance: **$320.41**
- EMA20 / EMA50 / EMA200:  
  **308.38 / 306.20 / 291.17**


### 📝 Additional Context
1Y Return 30.04%, 6M Return 16.73%, Score 46.85",Balanced,5,OPEN,,,,,,,,
TSLA_1765440864,TSLA,LONG,Index Screener (Auto),2025-12-11T03:14:24.043411,437.11,447.47,413.21,479.8,"
📌 **AI-Enhanced Trade Idea — TSLA**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$437.11 – $447.47**

### 🛑 Stop Loss (Risk Control)
- **$413.21**

### 🎯 Profit Target (7–45 days)
- **$479.8**
(Expected return: ~6.3%)

---

### 📊 Technical Summary
- ATR(14): **15.93**
- Support: **$391.09**
- Resistance: **$468.37**
- EMA20 / EMA50 / EMA200:  
  **434.81 / 425.46 / 376.97**


### 📝 Additional Context
1Y Return 6.28%, 6M Return 41.47%, Score 43.4",Balanced,5,OPEN,,,,,,,,
LLY_1765440864,LLY,LONG,Index Screener (Auto),2025-12-11T03:14:24.563532,968.88,986.76,927.61,1249.6,"
📌 **AI-Enhanced Trade Idea — LLY**

### 🔍 Trend Assessment
**Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$968.88 – $986.76**

### 🛑 Stop Loss (Risk Control)
- **$927.61**

### 🎯 Profit Target (7–45 days)
- **$1249.6**
(Expected return: ~25.8%)

---

### 📊 Technical Summary
- ATR(14): **27.51**
- Support: **$812.34**
- Resistance: **$1109.94**
- EMA20 / EMA50 / EMA200:  
  **1009.45 / 942.06 / 838.48**


### 📝 Additional Context
1Y Return 25.76%, 6M Return 22.81%, Score 42.04",Balanced,5,OPEN,,,,,,,,
NVDA_1765440864,NVDA,LONG,Index Screener (Auto),2025-12-11T03:14:24.971912,177.84,182.13,167.93,242.52,"
📌 **AI-Enhanced Trade Idea — NVDA**

### 🔍 Trend Assessment
**Sideways / Above LT Trend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$177.84 – $182.13**

### 🛑 Stop Loss (Risk Control)
- **$167.93**

### 🎯 Profit Target (7–45 days)
- **$242.52**
(Expected return: ~32.0%)

---

### 📊 Technical Summary
- ATR(14): **6.61**
- Support: **$176.99**
- Resistance: **$207.03**
- EMA20 / EMA50 / EMA200:  
  **184.01 / 184.37 / 169.64**


### 📝 Additional Context
1Y Return 31.96%, 6M Return 26.76%, Score 41.59",Balanced,5,OPEN,,,,,,,,
JNJ_1765440865,JNJ,LONG,Index Screener (Auto),2025-12-11T03:14:25.488073,203.61,205.73,198.72,299.81,"
📌 **AI-Enhanced Trade Idea — JNJ**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$203.61 – $205.73**

### 🛑 Stop Loss (Risk Control)
- **$198.72**

### 🎯 Profit Target (7–45 days)
- **$299.81**
(Expected return: ~45.2%)

---

### 📊 Technical Summary
- ATR(14): **3.26**
- Support: **$184.83**
- Resistance: **$207.56**
- EMA20 / EMA50 / EMA200:  
  **200.95 / 193.93 / 174.48**


### 📝 Additional Context
1Y Return 45.16%, 6M Return 33.65%, Score 40.65",Balanced,5,OPEN,,,,,,,,
AAPL_1765440865,AAPL,LONG,Index Screener (Auto),2025-12-11T03:14:25.893330,274.23,277.51,266.64,316.72,"
📌 **AI-Enhanced Trade Idea — AAPL**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$274.23 – $277.51**

### 🛑 Stop Loss (Risk Control)
- **$266.64**

### 🎯 Profit Target (7–45 days)
- **$316.72**
(Expected return: ~13.6%)

---

### 📊 Technical Summary
- ATR(14): **5.06**
- Support: **$266.25**
- Resistance: **$286.19**
- EMA20 / EMA50 / EMA200:  
  **276.07 / 266.50 / 234.41**


### 📝 Additional Context
1Y Return 13.61%, 6M Return 40.24%, Score 39.43",Balanced,5,OPEN,,,,,,,,
WMT_1765440866,WMT,LONG,Index Screener (Auto),2025-12-11T03:14:26.313315,110.68,112.49,106.51,136.21,"
📌 **AI-Enhanced Trade Idea — WMT**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$110.68 – $112.49**

### 🛑 Stop Loss (Risk Control)
- **$106.51**

### 🎯 Profit Target (7–45 days)
- **$136.21**
(Expected return: ~20.4%)

---

### 📊 Technical Summary
- ATR(14): **2.78**
- Support: **$100.61**
- Resistance: **$115.11**
- EMA20 / EMA50 / EMA200:  
  **109.82 / 106.39 / 100.91**


### 📝 Additional Context
1Y Return 20.35%, 6M Return 19.63%, Score 34.31",Balanced,5,OPEN,,,,,,,,
AVGO_1765441231,AVGO,LONG,Index Screener (Auto),2025-12-11T03:20:31.997026,397.87,408.77,372.7,940.04,"
📌 **AI-Enhanced Trade Idea — AVGO**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$397.87 – $408.77**

### 🛑 Stop Loss (Risk Control)
- **$372.7**

### 🎯 Profit Target (7–45 days)
- **$940.04**
(Expected return: ~127.6%)

---

### 📊 Technical Summary
- ATR(14): **16.78**
- Support: **$339.98**
- Resistance: **$412.97**
- EMA20 / EMA50 / EMA200:  
  **380.89 / 362.30 / 312.44**


### 📝 Additional Context
1Y Return 127.63%, 6M Return 61.93%, Score 78.38",Balanced,5,OPEN,,,,,,,,
GOOGL_1765441232,GOOGL,LONG,Index Screener (Auto),2025-12-11T03:20:32.364329,311.54,317.8,297.08,526.81,"
📌 **AI-Enhanced Trade Idea — GOOGL**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$311.54 – $317.8**

### 🛑 Stop Loss (Risk Control)
- **$297.08**

### 🎯 Profit Target (7–45 days)
- **$526.81**
(Expected return: ~64.5%)

---

### 📊 Technical Summary
- ATR(14): **9.64**
- Support: **$274.39**
- Resistance: **$323.23**
- EMA20 / EMA50 / EMA200:  
  **306.90 / 283.72 / 228.96**


### 📝 Additional Context
1Y Return 64.52%, 6M Return 82.53%, Score 59.13",Balanced,5,OPEN,,,,,,,,
GOOG_1765441232,GOOG,LONG,Index Screener (Auto),2025-12-11T03:20:32.936707,312.38,318.61,298.01,525.86,"
📌 **AI-Enhanced Trade Idea — GOOG**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$312.38 – $318.61**

### 🛑 Stop Loss (Risk Control)
- **$298.01**

### 🎯 Profit Target (7–45 days)
- **$525.86**
(Expected return: ~63.8%)

---

### 📊 Technical Summary
- ATR(14): **9.58**
- Support: **$274.99**
- Resistance: **$323.43**
- EMA20 / EMA50 / EMA200:  
  **307.44 / 284.28 / 229.83**


### 📝 Additional Context
1Y Return 63.82%, 6M Return 81.67%, Score 58.95",Balanced,5,OPEN,,,,,,,,
JPM_1765441233,JPM,LONG,Index Screener (Auto),2025-12-11T03:20:33.364280,303.31,308.22,291.98,403.27,"
📌 **AI-Enhanced Trade Idea — JPM**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$303.31 – $308.22**

### 🛑 Stop Loss (Risk Control)
- **$291.98**

### 🎯 Profit Target (7–45 days)
- **$403.27**
(Expected return: ~30.0%)

---

### 📊 Technical Summary
- ATR(14): **7.55**
- Support: **$298.00**
- Resistance: **$320.41**
- EMA20 / EMA50 / EMA200:  
  **308.38 / 306.20 / 291.17**


### 📝 Additional Context
1Y Return 30.04%, 6M Return 16.73%, Score 46.85",Balanced,5,OPEN,,,,,,,,
TSLA_1765441233,TSLA,LONG,Index Screener (Auto),2025-12-11T03:20:33.710233,437.11,447.47,413.21,479.8,"
📌 **AI-Enhanced Trade Idea — TSLA**

### 🔍 Trend Assessment
**Strong Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$437.11 – $447.47**

### 🛑 Stop Loss (Risk Control)
- **$413.21**

### 🎯 Profit Target (7–45 days)
- **$479.8**
(Expected return: ~6.3%)

---

### 📊 Technical Summary
- ATR(14): **15.93**
- Support: **$391.09**
- Resistance: **$468.37**
- EMA20 / EMA50 / EMA200:  
  **434.81 / 425.46 / 376.97**


### 📝 Additional Context
1Y Return 6.28%, 6M Return 41.47%, Score 43.4",Balanced,5,OPEN,,,,,,,,
LLY_1765441234,LLY,LONG,Index Screener (Auto),2025-12-11T03:20:34.119131,968.88,986.76,927.61,1249.6,"
📌 **AI-Enhanced Trade Idea — LLY**

### 🔍 Trend Assessment
**Uptrend**

### 🎯 Entry Zone (ATR-Adjusted Pullback)
- **$968.88 – $986.76**

### 🛑 Stop Loss (Risk Control)
- **$927.61**

### 🎯 Profit Target (7–45 days)
- **$1249.6**
(Expected return: ~25.8%)

---

### 📊 Technical Summary
- ATR(14): **27.51**
- Support: **$812.34**
- Resistance: **$1109.94**
- EMA20 / EMA50 / EMA200:  
  **1009.45 / 942.06 / 838.48**


### 📝 Additional Context
1Y Return 25.76%, 6M Return 22.81%, Score 42.04",Balanced,5,OPEN,,,,,,,,
